level,category,word,word_furigana,kana,romaji,pos,meaning_zh,example_furigana,example_zh
N5,數字與量詞,三つ,三[みっ]つ,みっつ,mittsu,量,三個,箱[はこ]が 三[みっ]つあります。,有三個箱子。
N5,數字與量詞,四つ,四[よっ]つ,よっつ,yottsu,量,四個,いすが 四[よっ]つあります。,有四張椅子。
N5,數字與量詞,五つ,五[いつ]つ,いつつ,itsutsu,量,五個,たまごが 五[いつ]つ 残[のこ]っています。,剩下五顆蛋。
N5,數字與量詞,六つ,六[むっ]つ,むっつ,muttsu,量,六個,あめを 六[むっ]つもらいました。,得到六顆糖。
N5,數字與量詞,七つ,七[なな]つ,ななつ,nanatsu,量,七個,妹[いもうと]は 七[なな]つです。,妹妹七歲。
N5,數字與量詞,八つ,八[やっ]つ,やっつ,yattsu,量,八個,クッキーが 八[やっ]つあります。,有八塊餅乾。
N5,數字與量詞,九つ,九[ここの]つ,ここのつ,kokonotsu,量,九個,弟[おとうと]は 九[ここの]つです。,弟弟九歲。
N5,數字與量詞,とお,とお,とお,tō,量,十個,りんごが 十[とお]あります。,有十個蘋果。
N5,數字與量詞,一人,一人[ひとり],ひとり,hitori,量,一個人,一人[ひとり]で 映画[えいが]を 見[み]ます。,一個人看電影。
N5,數字與量詞,二人,二人[ふたり],ふたり,futari,量,兩個人,二人[ふたり]で 公園[こうえん]へ 行[い]きます。,兩個人去公園。
N5,數字與量詞,歳,歳[さい],さい,sai,量,〜歲,私[わたし]は 十五歳[じゅうごさい]です。,我十五歲。
N5,數字與量詞,二十歳,二十歳[はたち],はたち,hatachi,名,二十歲,兄[あに]は 二十歳[はたち]になりました。,哥哥滿二十歲了。
N5,數字與量詞,円,円[えん],えん,en,量,日圓,この 本[ほん]は 五百円[ごひゃくえん]です。,這本書五百日圓。
N5,數字與量詞,番,番[ばん],ばん,ban,量,〜號,三番[さんばん]の 人[ひと]は 誰[だれ]ですか。,三號的人是誰？
N5,數字與量詞,回,回[かい],かい,kai,量,〜次,一回[いっかい]だけ 会[あ]いました。,只見過一次。
N5,數字與量詞,階,階[かい],かい,kai,量,〜樓,本屋[ほんや]は 三階[さんがい]にあります。,書店在三樓。
N5,數字與量詞,個,個[こ],こ,ko,量,〜個,たまごを 六個[ろっこ] 買[か]いました。,買了六個蛋。
N5,數字與量詞,枚,枚[まい],まい,mai,量,〜張（薄物）,切手[きって]を 二枚[にまい]ください。,請給我兩張郵票。
N5,數字與量詞,台,台[だい],だい,dai,量,〜台（機器車輛）,車[くるま]が 三台[さんだい]あります。,有三輛車。
N5,數字與量詞,冊,冊[さつ],さつ,satsu,量,〜本（書冊）,本[ほん]を 五冊[ごさつ] 借[か]りました。,借了五本書。
N5,數字與量詞,本,本[ほん],ほん,hon,量,〜支（細長物）,ペンが 二本[にほん]あります。,有兩支筆。
N5,數字與量詞,杯,杯[はい],はい,hai,量,〜杯,コーヒーを 一杯[いっぱい] 飲[の]みます。,喝一杯咖啡。
N5,數字與量詞,匹,匹[ひき],ひき,hiki,量,〜隻（小動物）,犬[いぬ]が 三匹[さんびき]います。,有三隻狗。
N5,數字與量詞,半分,半分[はんぶん],はんぶん,hanbun,名,一半,りんごを 半分[はんぶん]に 切[き]ります。,把蘋果切成一半。
N5,數字與量詞,全部,全部[ぜんぶ],ぜんぶ,zenbu,名,全部；全都,宿題[しゅくだい]は 全部[ぜんぶ] 終[お]わりました。,作業全部做完了。
N5,數字與量詞,番号,番号[ばんごう],ばんごう,bangō,名,號碼,電話番号[でんわばんごう]を 教[おし]えてください。,請告訴我電話號碼。
N5,數字與量詞,いくら,いくら,いくら,ikura,疑,多少錢,このかばんはいくらですか。,這個包包多少錢？
N5,數字與量詞,いくつ,いくつ,いくつ,ikutsu,疑,幾個；幾歲,みかんはいくつありますか。,橘子有幾個？
N5,時間與日期,今日,今日[きょう],きょう,kyō,名,今天,今日[きょう]はいい 天気[てんき]です。,今天天氣很好。
N5,時間與日期,明日,明日[あした],あした,ashita,名,明天,明日[あした] 学校[がっこう]へ 行[い]きます。,明天去學校。
N5,時間與日期,昨日,昨日[きのう],きのう,kinō,名,昨天,昨日[きのう] 映画[えいが]を 見[み]ました。,昨天看了電影。
N5,時間與日期,おととい,おととい,おととい,ototoi,名,前天,おとといは 日曜日[にちようび]でした。,前天是星期日。
N5,時間與日期,あさって,あさって,あさって,asatte,名,後天,あさって 試験[しけん]があります。,後天有考試。
N5,時間與日期,今,今[いま],いま,ima,名,現在,今[いま] 何時[なんじ]ですか。,現在幾點？
N5,時間與日期,今朝,今朝[けさ],けさ,kesa,名,今天早上,今朝[けさ]はパンを 食[た]べました。,今天早上吃了麵包。
N5,時間與日期,今晩,今晩[こんばん],こんばん,konban,名,今晚,今晩[こんばん] 友達[ともだち]に 会[あ]います。,今晚要見朋友。
N5,時間與日期,毎日,毎日[まいにち],まいにち,mainichi,名,每天,毎日[まいにち] 日本語[にほんご]を 勉強[べんきょう]します。,每天學日語。
N5,時間與日期,毎朝,毎朝[まいあさ],まいあさ,maiasa,名,每天早上,毎朝[まいあさ]コーヒーを 飲[の]みます。,每天早上喝咖啡。
N5,時間與日期,毎晩,毎晩[まいばん],まいばん,maiban,名,每晚,毎晩[まいばん] 本[ほん]を 読[よ]みます。,每晚讀書。
N5,時間與日期,毎週,毎週[まいしゅう],まいしゅう,maishū,名,每週,毎週[まいしゅう]テニスをします。,每週打網球。
N5,時間與日期,毎月,毎月[まいつき],まいつき,maitsuki,名,每月,毎月[まいつき] 雑誌[ざっし]を 買[か]います。,每個月買雜誌。
N5,時間與日期,毎年,毎年[まいとし],まいとし,maitoshi,名,每年,毎年[まいとし] 海[うみ]へ 行[い]きます。,每年去海邊。
N5,時間與日期,朝,朝[あさ],あさ,asa,名,早上,朝[あさ] 六時[ろくじ]に 起[お]きます。,早上六點起床。
N5,時間與日期,昼,昼[ひる],ひる,hiru,名,中午；白天,昼[ひる]ご 飯[はん]を 食[た]べます。,吃午飯。
N5,時間與日期,夜,夜[よる],よる,yoru,名,夜晚,夜[よる]は 静[しず]かです。,夜晚很安靜。
N5,時間與日期,晩,晩[ばん],ばん,ban,名,晚上,晩[ばん]ご 飯[はん]は 魚[さかな]です。,晚飯是魚。
N5,時間與日期,夕方,夕方[ゆうがた],ゆうがた,yūgata,名,傍晚,夕方[ゆうがた] 散歩[さんぽ]します。,傍晚散步。
N5,時間與日期,午前,午前[ごぜん],ごぜん,gozen,名,上午,午前[ごぜん] 九時[くじ]に 始[はじ]まります。,上午九點開始。
N5,時間與日期,午後,午後[ごご],ごご,gogo,名,下午,午後[ごご]は 暇[ひま]です。,下午有空。
N5,時間與日期,時間,時間[じかん],じかん,jikan,名,時間,時間[じかん]がありません。,沒有時間。
N5,時間與日期,時,時[じ],じ,ji,量,〜點鐘,三時[さんじ]に 会[あ]いましょう。,三點見面吧。
N5,時間與日期,分,分[ふん],ふん,fun,量,〜分鐘,あと 十分[じゅっぷん] 待[ま]ちます。,再等十分鐘。
N5,時間與日期,半,半[はん],はん,han,量,〜半,今[いま] 七時半[しちじはん]です。,現在七點半。
N5,時間與日期,週,週[しゅう],しゅう,shū,名,週,一週間[いっしゅうかん] 休[やす]みます。,休息一週。
N5,時間與日期,今週,今週[こんしゅう],こんしゅう,konshū,名,這週,今週[こんしゅう]は 忙[いそが]しいです。,這週很忙。
N5,時間與日期,先週,先週[せんしゅう],せんしゅう,senshū,名,上週,先週[せんしゅう] 京都[きょうと]へ 行[い]きました。,上週去了京都。
N5,時間與日期,来週,来週[らいしゅう],らいしゅう,raishū,名,下週,来週[らいしゅう] 試験[しけん]があります。,下週有考試。
N5,時間與日期,月,月[つき],つき,tsuki,名,月；月亮,月[つき]がきれいです。,月亮很美。
N5,時間與日期,今月,今月[こんげつ],こんげつ,kongetsu,名,這個月,今月[こんげつ]は 雨[あめ]が 多[おお]いです。,這個月雨很多。
N5,時間與日期,先月,先月[せんげつ],せんげつ,sengetsu,名,上個月,先月[せんげつ] 日本[にほん]へ 行[い]きました。,上個月去了日本。
N5,時間與日期,来月,来月[らいげつ],らいげつ,raigetsu,名,下個月,来月[らいげつ] 引[ひ]っ 越[こ]します。,下個月搬家。
N5,時間與日期,年,年[とし],とし,toshi,名,年,今年[ことし]はいい 年[とし]です。,今年是好的一年。
N5,時間與日期,今年,今年[ことし],ことし,kotoshi,名,今年,今年[ことし] 二十歳[はたち]になります。,今年滿二十歲。
N5,時間與日期,去年,去年[きょねん],きょねん,kyonen,名,去年,去年[きょねん] 結婚[けっこん]しました。,去年結婚了。
N5,時間與日期,来年,来年[らいねん],らいねん,rainen,名,明年,来年[らいねん] 大学[だいがく]に 入[はい]ります。,明年上大學。
N5,時間與日期,月曜日,月曜日[げつようび],げつようび,getsuyōbi,名,星期一,月曜日[げつようび]に 会議[かいぎ]があります。,星期一有會議。
N5,時間與日期,火曜日,火曜日[かようび],かようび,kayōbi,名,星期二,火曜日[かようび]は 忙[いそが]しいです。,星期二很忙。
N5,時間與日期,水曜日,水曜日[すいようび],すいようび,suiyōbi,名,星期三,水曜日[すいようび]に 病院[びょういん]へ 行[い]きます。,星期三去醫院。
N5,時間與日期,木曜日,木曜日[もくようび],もくようび,mokuyōbi,名,星期四,木曜日[もくようび]は 休[やす]みです。,星期四休息。
N5,時間與日期,金曜日,金曜日[きんようび],きんようび,kin'yōbi,名,星期五,金曜日[きんようび]に 映画[えいが]を 見[み]ます。,星期五看電影。
N5,時間與日期,土曜日,土曜日[どようび],どようび,doyōbi,名,星期六,土曜日[どようび]に 買[か]い 物[もの]します。,星期六購物。
N5,時間與日期,日曜日,日曜日[にちようび],にちようび,nichiyōbi,名,星期日,日曜日[にちようび]は 家[いえ]にいます。,星期日在家。
N5,時間與日期,誕生日,誕生日[たんじょうび],たんじょうび,tanjōbi,名,生日,今日[きょう]は 私[わたし]の 誕生日[たんじょうび]です。,今天是我的生日。
N5,時間與日期,〜月,〜月[がつ],がつ,gatsu,量,〜月（月份）,四月[しがつ]に 日本[にほん]へ 行[い]きます。,四月要去日本。
N5,時間與日期,日,日[にち],にち,nichi,量,〜日（日期）,今日[きょう]は 何日[なんにち]ですか。,今天是幾號？
N5,時間與日期,一日,一日[ついたち],ついたち,tsuitachi,名,一號（每月）,四月[しがつ] 一日[ついたち]に 会[あ]いましょう。,四月一號見面吧。
N5,時間與日期,春,春[はる],はる,haru,名,春天,春[はる]は 花[はな]がきれいです。,春天花很美。
N5,時間與日期,夏,夏[なつ],なつ,natsu,名,夏天,夏[なつ]は 海[うみ]へ 行[い]きます。,夏天去海邊。
N5,時間與日期,秋,秋[あき],あき,aki,名,秋天,秋[あき]は 涼[すず]しいです。,秋天很涼爽。
N5,時間與日期,冬,冬[ふゆ],ふゆ,fuyu,名,冬天,冬[ふゆ]は 雪[ゆき]が 降[ふ]ります。,冬天會下雪。
N5,時間與日期,最初,最初[さいしょ],さいしょ,saisho,名,最初；首先,最初[さいしょ]に 名前[なまえ]を 書[か]きます。,首先寫上名字。
N5,時間與日期,最後,最後[さいご],さいご,saigo,名,最後,最後[さいご]まで 頑張[がんば]ります。,堅持到最後。
N5,時間與日期,時々,時々[ときどき],ときどき,tokidoki,副,有時；偶爾,時々[ときどき] 映画[えいが]を 見[み]ます。,偶爾看電影。
N5,時間與日期,曜日,曜日[ようび],ようび,yōbi,名,星期,今日[きょう]は 何曜日[なんようび]ですか。,今天星期幾？
N5,時間與日期,何時,何時[なんじ],なんじ,nanji,疑,幾點,授業[じゅぎょう]は 何時[なんじ]からですか。,課從幾點開始？
N5,時間與日期,何日,何日[なんにち],なんにち,nannichi,疑,幾號；幾天,夏休[なつやす]みは 何日[なんにち]ありますか。,暑假有幾天？
N5,時間與日期,いつ,いつ,いつ,itsu,疑,什麼時候,いつ 日本[にほん]へ 行[い]きますか。,什麼時候去日本？
N5,家族與人,家族,家族[かぞく],かぞく,kazoku,名,家人；家庭,私[わたし]の 家族[かぞく]は 四人[よにん]です。,我家有四個人。
N5,家族與人,父,父[ちち],ちち,chichi,名,（我）父親,父[ちち]は 会社員[かいしゃいん]です。,我爸爸是上班族。
N5,家族與人,母,母[はは],はは,haha,名,（我）母親,母[はは]は 料理[りょうり]が 上手[じょうず]です。,我媽媽很會做菜。
N5,家族與人,お父さん,お父[とう]さん,おとうさん,otōsan,名,父親（敬稱）,お 父[とう]さんはどこですか。,爸爸在哪裡？
N5,家族與人,お母さん,お母[かあ]さん,おかあさん,okāsan,名,母親（敬稱）,お 母[かあ]さんは 優[やさ]しいです。,媽媽很溫柔。
N5,家族與人,兄,兄[あに],あに,ani,名,（我）哥哥,兄[あに]は 大学生[だいがくせい]です。,我哥哥是大學生。
N5,家族與人,姉,姉[あね],あね,ane,名,（我）姊姊,姉[あね]は 東京[とうきょう]に 住[す]んでいます。,我姊姊住在東京。
N5,家族與人,弟,弟[おとうと],おとうと,otōto,名,弟弟,弟[おとうと]はサッカーが 好[す]きです。,弟弟喜歡足球。
N5,家族與人,妹,妹[いもうと],いもうと,imōto,名,妹妹,妹[いもうと]は 高校生[こうこうせい]です。,妹妹是高中生。
N5,家族與人,お兄さん,お兄[にい]さん,おにいさん,onīsan,名,哥哥（敬稱）,あなたのお 兄[にい]さんは 何歳[なんさい]ですか。,你哥哥幾歲？
N5,家族與人,お姉さん,お姉[ねえ]さん,おねえさん,onēsan,名,姊姊（敬稱）,お 姉[ねえ]さんはきれいです。,姊姊很漂亮。
N5,家族與人,両親,両親[りょうしん],りょうしん,ryōshin,名,父母；雙親,両親[りょうしん]は 元気[げんき]です。,父母很健康。
N5,家族與人,兄弟,兄弟[きょうだい],きょうだい,kyōdai,名,兄弟姊妹,兄弟[きょうだい]が 三人[さんにん]います。,有三個兄弟姊妹。
N5,家族與人,おじいさん,おじいさん,おじいさん,ojīsan,名,爺爺；老爺爺,おじいさんは 八十歳[はちじゅっさい]です。,爺爺八十歲。
N5,家族與人,おばあさん,おばあさん,おばあさん,obāsan,名,奶奶；老奶奶,おばあさんは 庭[にわ]にいます。,奶奶在院子裡。
N5,家族與人,おじさん,おじさん,おじさん,ojisan,名,叔叔；伯伯,おじさんは 医者[いしゃ]です。,叔叔是醫生。
N5,家族與人,おばさん,おばさん,おばさん,obasan,名,阿姨；伯母,おばさんは 親切[しんせつ]です。,阿姨很親切。
N5,家族與人,子ども,子[こ]ども,こども,kodomo,名,小孩,公園[こうえん]に 子[こ]どもがいます。,公園裡有小孩。
N5,家族與人,男,男[おとこ],おとこ,otoko,名,男；男性,あの 男[おとこ]の 人[ひと]は 先生[せんせい]です。,那個男人是老師。
N5,家族與人,女,女[おんな],おんな,onna,名,女；女性,あの 女[おんな]の 人[ひと]は 医者[いしゃ]です。,那個女人是醫生。
N5,家族與人,男の子,男の子[おとこのこ],おとこのこ,otoko no ko,名,男孩,男[おとこ]の 子[こ]が 泣[な]いています。,男孩在哭。
N5,家族與人,女の子,女の子[おんなのこ],おんなのこ,onna no ko,名,女孩,女[おんな]の 子[こ]が 歌[うた]っています。,女孩在唱歌。
N5,家族與人,男の人,男の人[おとこのひと],おとこのひと,otoko no hito,名,男人,男[おとこ]の 人[ひと]が 立[た]っています。,有個男人站著。
N5,家族與人,女の人,女の人[おんなのひと],おんなのひと,onna no hito,名,女人,女[おんな]の 人[ひと]が 座[すわ]っています。,有個女人坐著。
N5,家族與人,人,人[ひと],ひと,hito,名,人,あの 人[ひと]は 誰[だれ]ですか。,那個人是誰？
N5,家族與人,大人,大人[おとな],おとな,otona,名,大人；成人,大人[おとな]の 切符[きっぷ]を 一枚[いちまい]ください。,請給我一張成人票。
N5,家族與人,友達,友達[ともだち],ともだち,tomodachi,名,朋友,友達[ともだち]と 映画[えいが]を 見[み]ました。,和朋友看了電影。
N5,家族與人,皆さん,皆[みな]さん,みなさん,minasan,名,大家；各位,皆[みな]さん、こんにちは。,大家好。
N5,家族與人,みんな,みんな,みんな,minna,名,大家；全部,みんなで 写真[しゃしん]を 撮[と]りました。,大家一起拍了照。
N5,家族與人,私,私[わたし],わたし,watashi,代,我,私[わたし]は 学生[がくせい]です。,我是學生。
N5,家族與人,僕,僕[ぼく],ぼく,boku,代,我（男性自稱）,僕[ぼく]はサッカーが 好[す]きです。,我喜歡足球。
N5,家族與人,あなた,あなた,あなた,anata,代,你,あなたの 名前[なまえ]は 何[なん]ですか。,你叫什麼名字？
N5,家族與人,先生,先生[せんせい],せんせい,sensei,名,老師,田中[たなか] 先生[せんせい]は 親切[しんせつ]です。,田中老師很親切。
N5,家族與人,学生,学生[がくせい],がくせい,gakusei,名,學生,私[わたし]は 大学[だいがく]の 学生[がくせい]です。,我是大學生。
N5,家族與人,生徒,生徒[せいと],せいと,seito,名,學生（中小學）,この 教室[きょうしつ]に 生徒[せいと]が 三十人[さんじゅうにん]います。,這間教室裡有三十個學生。
N5,家族與人,医者,医者[いしゃ],いしゃ,isha,名,醫生,兄[あに]は 医者[いしゃ]になりました。,哥哥成為了醫生。
N5,家族與人,外国人,外国人[がいこくじん],がいこくじん,gaikokujin,名,外國人,この 会社[かいしゃ]に 外国人[がいこくじん]が 多[おお]いです。,這間公司外國人很多。
N5,家族與人,名前,名前[なまえ],なまえ,namae,名,名字,ここに 名前[なまえ]を 書[か]いてください。,請在這裡寫名字。
N5,家族與人,娘,娘[むすめ],むすめ,musume,名,女兒,娘[むすめ]は 五歳[ごさい]です。,女兒五歲。
N5,家族與人,息子,息子[むすこ],むすこ,musuko,名,兒子,息子[むすこ]は 中学生[ちゅうがくせい]です。,兒子是國中生。
N5,家族與人,自分,自分[じぶん],じぶん,jibun,代,自己,自分[じぶん]でご 飯[はん]を 作[つく]ります。,自己做飯。
N5,家族與人,彼,彼[かれ],かれ,kare,代,他；男朋友,彼[かれ]は 先生[せんせい]です。,他是老師。
N5,家族與人,彼女,彼女[かのじょ],かのじょ,kanojo,代,她；女朋友,彼女[かのじょ]は 学生[がくせい]です。,她是學生。
N5,家族與人,〜さん,〜さん,さん,san,名,〜先生／小姐,山田[やまだ]さんは 会社員[かいしゃいん]です。,山田先生是上班族。
N5,食物與飲料,ご飯,ご飯[はん],ごはん,gohan,名,飯,毎日[まいにち]ご 飯[はん]を 食[た]べます。,每天吃飯。
N5,食物與飲料,朝ご飯,朝ご飯[あさごはん],あさごはん,asagohan,名,早餐,朝[あさ]ご 飯[はん]はパンです。,早餐是麵包。
N5,食物與飲料,昼ご飯,昼ご飯[ひるごはん],ひるごはん,hirugohan,名,午餐,昼[ひる]ご 飯[はん]を 食[た]べましたか。,你吃午餐了嗎？
N5,食物與飲料,晩ご飯,晩ご飯[ばんごはん],ばんごはん,bangohan,名,晚餐,晩[ばん]ご 飯[はん]は 魚[さかな]です。,晚餐是魚。
N5,食物與飲料,食べ物,食べ物[たべもの],たべもの,tabemono,名,食物,好[す]きな 食[た]べ 物[もの]は 寿司[すし]です。,喜歡的食物是壽司。
N5,食物與飲料,飲み物,飲み物[のみもの],のみもの,nomimono,名,飲料,冷[つめ]たい 飲[の]み 物[もの]が 欲[ほ]しいです。,想要冷飲。
N5,食物與飲料,水,水[みず],みず,mizu,名,水,水[みず]を 飲[の]みます。,喝水。
N5,食物與飲料,お茶,お茶[ちゃ],おちゃ,ocha,名,茶,お 茶[ちゃ]を 飲[の]みませんか。,要不要喝茶？
N5,食物與飲料,紅茶,紅茶[こうちゃ],こうちゃ,kōcha,名,紅茶,紅茶[こうちゃ]が 好[す]きです。,喜歡紅茶。
N5,食物與飲料,コーヒー,コーヒー,コーヒー,kōhī,名,咖啡,コーヒーを 一杯[いっぱい] 飲[の]みました。,喝了一杯咖啡。
N5,食物與飲料,牛乳,牛乳[ぎゅうにゅう],ぎゅうにゅう,gyūnyū,名,牛奶,毎朝[まいあさ] 牛乳[ぎゅうにゅう]を 飲[の]みます。,每天早上喝牛奶。
N5,食物與飲料,ジュース,ジュース,ジュース,jūsu,名,果汁,ジュースを 買[か]います。,買果汁。
N5,食物與飲料,お酒,お酒[さけ],おさけ,osake,名,酒,お 酒[さけ]は 飲[の]みません。,不喝酒。
N5,食物與飲料,ビール,ビール,ビール,bīru,名,啤酒,ビールを 二本[にほん]ください。,請給我兩瓶啤酒。
N5,食物與飲料,肉,肉[にく],にく,niku,名,肉,肉[にく]を 食[た]べます。,吃肉。
N5,食物與飲料,牛肉,牛肉[ぎゅうにく],ぎゅうにく,gyūniku,名,牛肉,牛肉[ぎゅうにく]を 買[か]いました。,買了牛肉。
N5,食物與飲料,豚肉,豚肉[ぶたにく],ぶたにく,butaniku,名,豬肉,豚肉[ぶたにく]は 安[やす]いです。,豬肉很便宜。
N5,食物與飲料,鶏肉,鶏肉[とりにく],とりにく,toriniku,名,雞肉,鶏肉[とりにく]が 好[す]きです。,喜歡雞肉。
N5,食物與飲料,魚,魚[さかな],さかな,sakana,名,魚,魚[さかな]を 焼[や]きます。,烤魚。
N5,食物與飲料,卵,卵[たまご],たまご,tamago,名,蛋,卵[たまご]を 二個[にこ] 食[た]べました。,吃了兩顆蛋。
N5,食物與飲料,野菜,野菜[やさい],やさい,yasai,名,蔬菜,野菜[やさい]をたくさん 食[た]べます。,吃很多蔬菜。
N5,食物與飲料,果物,果物[くだもの],くだもの,kudamono,名,水果,果物[くだもの]が 好[す]きです。,喜歡水果。
N5,食物與飲料,りんご,りんご,りんご,ringo,名,蘋果,りんごを 一[ひと]つください。,請給我一顆蘋果。
N5,食物與飲料,みかん,みかん,みかん,mikan,名,橘子,みかんは 甘[あま]いです。,橘子很甜。
N5,食物與飲料,バナナ,バナナ,バナナ,banana,名,香蕉,バナナを 食[た]べます。,吃香蕉。
N5,食物與飲料,パン,パン,パン,pan,名,麵包,朝[あさ]はパンを 食[た]べます。,早上吃麵包。
N5,食物與飲料,バター,バター,バター,batā,名,奶油,パンにバターを 塗[ぬ]ります。,在麵包上塗奶油。
N5,食物與飲料,砂糖,砂糖[さとう],さとう,satō,名,糖,コーヒーに 砂糖[さとう]を 入[い]れます。,在咖啡裡加糖。
N5,食物與飲料,塩,塩[しお],しお,shio,名,鹽,塩[しお]を 少[すこ]し 入[い]れます。,加一點鹽。
N5,食物與飲料,醤油,醤油[しょうゆ],しょうゆ,shōyu,名,醬油,魚[さかな]に 醤油[しょうゆ]をかけます。,在魚上淋醬油。
N5,食物與飲料,カレー,カレー,カレー,karē,名,咖哩,今夜[こんや]はカレーを 作[つく]ります。,今晚做咖哩。
N5,食物與飲料,ラーメン,ラーメン,ラーメン,rāmen,名,拉麵,ラーメンを 食[た]べに 行[い]きます。,去吃拉麵。
N5,食物與飲料,料理,料理[りょうり],りょうり,ryōri,名,菜餚；料理,母[はは]は 料理[りょうり]が 上手[じょうず]です。,媽媽很會做菜。
N5,食物與飲料,お菓子,お菓子[かし],おかし,okashi,名,點心；零食,お 菓子[かし]を 食[た]べすぎました。,吃太多零食了。
N5,食物與飲料,飴,飴[あめ],あめ,ame,名,糖果,子供[こども]に 飴[あめ]をあげます。,給小孩糖果。
N5,食物與飲料,チョコレート,チョコレート,チョコレート,chokorēto,名,巧克力,チョコレートが 大好[だいす]きです。,最喜歡巧克力。
N5,食物與飲料,アイスクリーム,アイスクリーム,アイスクリーム,aisukurīmu,名,冰淇淋,夏[なつ]はアイスクリームを 食[た]べます。,夏天吃冰淇淋。
N5,食物與飲料,弁当,弁当[べんとう],べんとう,bentō,名,便當,弁当[べんとう]を 持[も]って 行[い]きます。,帶便當去。
N5,食物與飲料,味,味[あじ],あじ,aji,名,味道,この 料理[りょうり]は 味[あじ]が 薄[うす]いです。,這道菜味道很淡。
N5,食物與飲料,メニュー,メニュー,メニュー,menyū,名,菜單,メニューを 見[み]せてください。,請給我看菜單。
N5,食物與飲料,寿司,寿司[すし],すし,sushi,名,壽司,寿司[すし]を 食[た]べたいです。,想吃壽司。
N5,食物與飲料,天ぷら,天[てん]ぷら,てんぷら,tenpura,名,天婦羅,天[てん]ぷらはおいしいです。,天婦羅很好吃。
N5,食物與飲料,そば,そば,そば,soba,名,蕎麥麵,昼[ひる]にそばを 食[た]べました。,中午吃了蕎麥麵。
N5,食物與飲料,ワイン,ワイン,ワイン,wain,名,葡萄酒,赤[あか]ワインを 飲[の]みます。,喝紅酒。
N5,食物與飲料,スープ,スープ,スープ,sūpu,名,湯,温[あたた]かいスープを 飲[の]みます。,喝熱湯。
N5,食物與飲料,サラダ,サラダ,サラダ,sarada,名,沙拉,野菜[やさい]サラダを 作[つく]ります。,做蔬菜沙拉。
N5,食物與飲料,ケーキ,ケーキ,ケーキ,kēki,名,蛋糕,誕生日[たんじょうび]にケーキを 食[た]べます。,生日吃蛋糕。
N5,食物與飲料,お湯,お湯[ゆ],おゆ,oyu,名,熱水；開水,お 湯[ゆ]でお 茶[ちゃ]を 入[い]れます。,用熱水泡茶。
N5,食物與飲料,おにぎり,おにぎり,おにぎり,onigiri,名,飯糰,おにぎりを 二[ふた]つ 買[か]いました。,買了兩個飯糰。
N5,食物與飲料,ハム,ハム,ハム,hamu,名,火腿,ハムサンドを 食[た]べます。,吃火腿三明治。
N5,身體與健康,体,体[からだ],からだ,karada,名,身體,祖父[そふ]は 体[からだ]が 丈夫[じょうぶ]です。,祖父身體很健壯。
N5,身體與健康,頭,頭[あたま],あたま,atama,名,頭,頭[あたま]が 痛[いた]いです。,頭痛。
N5,身體與健康,顔,顔[かお],かお,kao,名,臉,朝[あさ] 顔[かお]を 洗[あら]います。,早上洗臉。
N5,身體與健康,目,目[め],め,me,名,眼睛,妹[いもうと]は 目[め]が 大[おお]きいです。,妹妹眼睛很大。
